Unnamed: 0,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
17,Oh my god,(G)I-DLE,0.794,0.762,4,-3.525,0,0.0392,0.0358,0.482,109.97,195867,4
19,Secret Story of the Swan - Japanese Version,IZ*ONE,0.69,0.934,7,-0.975,0,0.0775,0.108,0.711,102.985,192320,4
20,Make A Wish (Birthday Song),NCT U,0.732,0.795,8,-2.263,1,0.1,0.0632,0.693,100.954,229400,4
21,Monster,Red Velvet - IRENE & SEULGI,0.631,0.748,4,-2.569,0,0.0488,0.212,0.351,115.665,178413,4
22,God’s Menu,Stray Kids,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.482,157.052,167922,4
23,Kick It,NCT 127,0.681,0.847,7,-2.462,1,0.0869,0.0306,0.507,167.031,233013,4
24,Candy,BAEKHYUN,0.649,0.767,11,-3.838,0,0.0455,0.24,0.608,149.918,227173,4
25,Black Mamba,aespa,0.52,0.915,2,-2.862,1,0.103,0.0618,0.5,90.069,174933,4
28,Dolphin,OH MY GIRL,0.858,0.68,4,-4.531,1,0.0795,0.171,0.621,113.993,176773,4
29,Bet You Wanna,"BLACKPINK, Cardi B",0.541,0.688,7,-5.184,1,0.198,0.00479,0.649,109.843,159168,4
30,pporappippam 보라빛 밤,SUNMI,0.714,0.828,1,-4.68,0,0.0428,0.0513,0.318,120.014,206617,4
31,舞い落ちる花びら(Fallin' Flower),SEVENTEEN,0.641,0.85,9,-4.76,0,0.229,0.348,0.674,141.877,212333,4
32,Ridin',NCT DREAM,0.549,0.903,1,-1.483,0,0.045,0.178,0.513,150.009,201773,4
33,Maria,Hwa Sa,0.658,0.749,9,-2.967,0,0.0634,0.238,0.442,128.909,199027,4
34,Stay Tonight,CHUNG HA,0.625,0.831,2,-2.186,0,0.056,0.203,0.491,121.025,217239,4
35,HOME;RUN,SEVENTEEN,0.687,0.942,2,-2.817,1,0.0741,0.0613,0.765,96.106,184427,4
36,THE BADDEST,"K/DA, (G)I-DLE, Wolftyla, Bea Miller, League of Legends",0.676,0.857,10,-4.368,0,0.0438,0.0215,0.717,149.981,162600,4
37,Answer,ATEEZ,0.565,0.903,7,-1.918,1,0.0499,0.0746,0.54,97.968,219760,4
38,Nonstop,OH MY GIRL,0.753,0.91,0,-2.591,1,0.0517,0.171,0.825,123.983,202760,4
39,LA DI DA,EVERGLOW,0.477,0.85,3,-1.486,0,0.0911,0.00108,0.601,163.845,210893,4
40,Panorama,IZ*ONE,0.726,0.963,9,-1.111,0,0.0916,0.0429,0.769,126.062,222853,4
41,0415,Yerin Baek,0.831,0.6,0,-8.71,1,0.0602,0.134,0.378,119.984,264307,4
42,NOT BY THE MOON,GOT7,0.549,0.813,5,-4.828,0,0.148,0.0556,0.544,151.813,204702,4
43,IDEA (理想),TAEMIN,0.48,0.813,10,-5.437,0,0.0575,0.00456,0.7,120.888,193547,4
44,One (Monster & Infinity),SuperM,0.51,0.894,0,-2.649,1,0.149,0.0259,0.382,160.061,221040,4
45,Apple,GFRIEND,0.641,0.932,9,-4.877,1,0.156,0.0156,0.253,119.965,207252,4
46,Bon voyage,YooA,0.703,0.889,2,-3.537,1,0.0509,0.307,0.273,119.793,219587,4
47,BOY,TREASURE,0.757,0.791,6,-5.731,0,0.0476,0.0526,0.67,110.062,196667,4
48,Obliviate,Lovelyz,0.68,0.904,10,-2.056,0,0.117,0.287,0.602,117.995,202107,4
49,YESSIR,3YE,0.681,0.975,4,-1.438,0,0.0646,0.0626,0.726,94.998,198493,4
0,Butter,BTS,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.6950000000000001,109.997,164442,4
1,The Feels,TWICE,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.922,120.044,198053,4
2,Savage,aespa,0.727,0.879,9,-1.167,1,0.129,0.124,0.671,146.959,238144,4
3,Permission to Dance,BTS,0.7020000000000001,0.741,9,-5.33,1,0.0427,0.00544,0.646,124.925,187585,4
4,In the morning,ITZY,0.846,0.8140000000000001,6,-4.6850000000000005,0,0.149,0.0823,0.722,140.055,172373,4
5,Alcohol-Free,TWICE,0.6880000000000001,0.909,8,-1.992,1,0.0624,0.0474,0.7020000000000001,97.097,210573,4
6,MONEY,LISA,0.8260000000000001,0.553,1,-10.121,0,0.234,0.163,0.4,140.037,168228,4
7,ELEVEN,IVE,0.8280000000000001,0.731,9,-3.033,1,0.111,0.0617,0.587,119.978,178453,4
8,Queendom,Red Velvet,0.6950000000000001,0.896,5,-1.24,1,0.0847,0.179,0.508,119.959,181760,4
9,Celebrity,IU,0.73,0.784,9,-2.62,1,0.0691,0.191,0.673,99.995,195547,4
10,Hot Sauce,NCT DREAM,0.769,0.926,6,-1.627,1,0.0788,0.0127,0.551,100.034,195813,4
11,LILAC,IU,0.738,0.89,2,-2.275,0,0.0748,0.0895,0.75,114.942,214253,4
12,On The Ground,ROSÉ,0.311,0.607,1,-6.578,1,0.11,0.0174,0.286,188.7,168086,4
13,Weekend,TAEYEON,0.74,0.854,8,-2.209,1,0.0525,0.0783,0.856,114.029,233413,4
14,ASAP,STAYC,0.764,0.802,0,-4.217,1,0.0351,0.102,0.323,132.02,194080,4
15,DUMB DUMB,JEON SOMI,0.85,0.734,2,-6.415,1,0.0491,0.0221,0.406,103.027,149214,4
16,After School,Weeekly,0.634,0.928,1,-1.609,1,0.0514,0.00719,0.738,164.007,205373,4
17,Hello Future,NCT DREAM,0.545,0.803,1,-2.283,1,0.0526,0.0261,0.5,170.006,220920,4
18,STEREOTYPE,STAYC,0.605,0.805,6,-3.212,1,0.0641,0.313,0.738,148.298,191696,4
19,FEVER,ENHYPEN,0.6000000000000001,0.713,6,-5.079,0,0.0592,0.0642,0.471,72.999,172107,4
